"state","Location"
"Shifted","Cousin Carbonate"
"Shifted","Cousin Granite"
"Shifted","Cousin Patch"
"Shifted","Mahe E Carbonate"
"Shifted","Mahe E Granite"
"Shifted","Praslin NE Carbonate"
"Shifted","Praslin SW Carbonate"
"Shifted","Praslin SW Patch"
"Shifted","Ste Anne Carbonate"
"Recovering","Mahe E Patch"
"Recovering","Mahe NW Carbonate"
"Recovering","Mahe NW Patch"
"Recovering","Mahe W Carbonate"
"Recovering","Mahe W Granite"
"Recovering","Mahe W Patch"
"Recovering","Praslin NE Granite"
"Recovering","Praslin NE Patch"
"Recovering","Praslin SW Granite"
"Recovering","Ste Anne Patch"
"Recovering","Mahe NW Granite"
"Recovering","Ste Anne Granite"
